My underwear is dirty.	我的內衣髒了
I sat between Tom and John.	我坐在汤姆和约翰中间。
Tom hasn't finished yet.	湯姆還沒完成。
"Shall I have him call you when he gets back?" "Yes, please."	“等他回来，我要让他给你打电话吗？”“是的，谢谢。”
Tom climbed down from the tree.	汤姆从树上爬了下来。
I like mathematics.	我喜歡數學。
I'll show you the way.	我會為你帶路。
Where are your things?	你的東西在哪裡?
The boy is eating bread.	这个男孩子在吃面包。
English is easy to learn.	英語簡單易學。
There's a soccer match tomorrow.	明天有一場足球比賽。
I listened to some records last night.	我昨晚聽了一些唱片。
We've got to do something about this problem soon.	我们要快点处理这问题。
Tom doesn't look like his father at all.	汤姆和他的父亲长得一点也不像。
The house burned to the ground before the fire truck arrived.	消防车到达之前，房子就全烧了。
I'm the one who has to do this.	我是必須去做這事的人。
We still have more time.	我們仍然有更多的時間。
Today is my birthday.	今天是我的生日。
I invited my friends to dinner.	我邀請我的朋友吃晚餐。
I'm sick.	我病了。
It seems she hates you.	她好像很讨厌你。
You should see a doctor.	你應該去看醫生。
Tom doesn't even try to help Mary.	汤姆甚至没打算帮玛丽。
I miss you. I need to see you. Could I come over?	我想你。我需要见你。我能来吗？
I do not play the piano.	我不彈鋼琴。
I won't stay here for long.	我不会在这里呆很久。
What do you say to taking a walk in the park?	去公园散步你觉得怎么样？
It was rather easy for them.	這是對他們來說相當容易。
I asked each boy three questions.	我問了每個男孩三個問題。
I am very concerned about his health.	我很关心他的健康。
He went out in spite of the rain.	尽管下着雨，他还是出去了。
You should've rejected such an unfair proposal.	你本该拒绝一个那么不公平的提议。
The birds were flying in a group.	鸟儿成群飞着。
We have all we need for now.	我们现在拥有了所有我们想要的。
You come back soon, OK?	你早點回來，行嗎？
Do not give in to those demands.	不要屈服於這些要求。
Please help yourself to some fruit.	請你隨便吃點水果。
We took part in the discussion.	我們參加了討論。
He can't seem to understand that poem.	他似乎无法理解那首诗。
No one lived on the island at that time.	那个时候，没有人在这个岛上生活。
In my opinion, he is correct.	在我看来，他是有道理的。
Whose bicycle is this?	这辆自行车是谁的？
We need to buy a new TV.	我们需要买新电视机。
Do you hear what I'm saying?	你在听我说吗？
We went swimming at the beach.	我們去海邊游泳。
Check, please.	請結帳。
I remember meeting her somewhere.	我記得我在某個地方見過她。
Wires are used to convey electricity.	電線被用來運送電力。
There are a lot of new buildings here now.	这里现在有了许多新建筑。
I'm developing an Android application.	我正在开发一个安卓应用。
I am going to stay here for a couple of days.	我將要在這裡待幾天。
This book sells well.	那本書賣得很好。
She sang a Japanese song for us.	她為我們唱了一首日文歌。
I made him paint the house.	我讓他刷房子。
Wine made here is very famous.	這裡製造的葡萄酒非常有名。
Do you like juice?	你喜歡果汁嗎？
It hasn't been easy.	它不容易。
You'll never be alone.	你们永远不会一个人的。
Take a taxi to the hotel.	打的去旅馆吧。
Did anyone call me while I was out?	我出去的时候有人打我电话吗？
You should not go alone.	你不應該一個人去。
She got over the shock of her father's death.	她從她父親過世的震驚中恢復了。
A lot of people swim here in the summer.	许多人夏天在这里游泳。
She made the same mistake again.	她又犯了同樣的錯誤了。
This room has air conditioning.	這個房間有空調。
You have cute eyes.	你有一双很可爱的眼睛。
Don't tell me you didn't know.	别跟我说你不知道。
He does speak well.	他真的說得很好。
Water boils at 100 degrees.	水在攝氏100度沸騰。
Get on the horse.	上马。
I know what his name is.	我知道他叫什么名字。
It's about a ten-minute drive from here.	從這裡大約10分鐘車程。
He took off his glasses.	他摘下了眼鏡。
I'm stuck here in Boston because of the storm.	我因為風暴困在波士頓。
Tell me the truth.	告訴我真相。
It's ten minutes' walk to the station.	步行到車站要花十分鐘。
She has been sick for three weeks.	她已經病了三個星期了。
I majored in American literature at college.	我在大學主修美國文學。
Are you coming tomorrow?	你明天要來嗎？
Tom told me he had a right to see it.	汤姆告诉我他有权看它。
The large crowd roared in approval as Mark Knopfler played the first few bars of "Money for Nothing".	就像马克·诺弗勒早期演唱的歌曲《金钱无用》一样，绝大多数的人依然高呼赞成“金钱无用论”。
It's not a watch.	這不是手錶。
Tom is teaching me to how to sail.	汤姆正在教我怎么开帆船。
On hearing the news, she fainted.	听到消息，她晕倒了。
I made a bet that she would win the game.	我賭她贏這比賽。
Tom told me to take good care of myself.	汤姆告诉我要照顾好我自己。
I gave it to the little boy.	我把它給這個小男孩。
Could you introduce me to a lawyer?	你能幫我介紹一名律師嗎？
Tom didn't tell me the truth.	湯姆沒有告訴我實話。
My sister usually walks to school.	我妹妹通常走路去學校。
I'm sure Tom can't swim.	我确定汤姆不会游泳。
I'm always here.	我一直在這裡。
At home, we speak only French.	在家里，我们只说法语。
Tom is as tall as his father.	湯姆跟他爸爸一樣高。
I was hoping Tom would come here today.	我希望湯姆有一天會來這裡。
The more books you read, the more you'll know.	你看的书越多，你知道的越多。
He loves her. She loves him, too.	他愛她。她也愛他。
She was almost late for school.	她上學幾乎遲到。
He is not a singer, but an actor.	他不是歌手，但是个演员。
Please give me a cup of water.	请你给我一杯水。
Tom isn't as innocent as he seems.	汤姆不像他看上去的那样无辜。
Tom went there to learn French.	汤姆去那里学法语。
I have eight siblings.	我有八個兄弟姐妹。
What's your favorite type of pizza?	你最喜歡的比薩類型是甚麼？
That's the point.	这正是问题的关键。
Your father is pretty tall.	你爸爸很高。
I tried, but I did not succeed.	我試了，但我沒有成功。
I can swim very fast.	我游泳可以游得很快。
Turn off the light.	關燈。
The tablecloth is in the cabinet.	桌布在櫥櫃裡。
They always wake up early, even on Sundays.	他們總是早起，即使是在周日。
I hope he'll wait for me.	我希望他會等我。
The bill will never go through.	該法案將永遠不會通過。
What time was she born?	她幾點出生的？
Beethoven was a great musician.	貝多芬是一個偉大的音樂家。
I thought Tom had a soccer game tonight.	我以为汤姆今晚有足球比赛。
I have no clue.	我一无所知。
They didn't like you.	他们不喜欢你。
I trust him.	我信任他。
Teachers must understand children.	教師必須了解孩子。
To tell the truth, I completely forgot.	說實話，我完全忘了。
I am fully convinced of your innocence.	我完全相信你是清白的。
He is a waiter in a seaside restaurant.	他是一家海滨餐厅的服务员。
The mother occasionally reread her son's letter.	这位母亲偶尔会重温她的儿子的信件。
This book will do.	這本書就行了。
Who is going to speak tonight?	今晚谁发言？
They're not afraid of hard work.	他們不怕艱苦的工作。
You know I have no choice, don't you?	你知道我沒法選擇，不是麼？
I was just about to leave the house when the telephone rang.	我正要离开家的时候电话响了。
I didn't expect that result.	我没有期望得到这样的结果。
If he is innocent, it follows that his wife is guilty.	如果他是清白的，那他妻子就有罪。
Could you please sign the register?	請您在登記冊上簽名好嗎？
I vowed that I would never speak to her again.	我發誓再也不跟她說話了。
Please replace the empty ink cartridge in the printer.	请把打印机里面的空的墨粉鼓换掉。
The boy came running into the room.	小男孩跑進了房間。
Tom cares about you.	汤姆关心你。
She gets up early every morning.	她每天早上早起。
I thought I had all the answers.	我認為我有所有的答案。
He knocked on the closed door.	他敲了敲緊閉的門。
I am interested in this story.	我對這個故事感興趣。
You may have been the last person to see Tom.	你可能是最後一個見湯姆的人。
I have a frog in my throat.	我的喉嚨裡有一隻青蛙。
She played a waltz on the piano.	她在鋼琴上彈了一首華爾滋舞曲。
They closed their eyes.	他们闭上眼睛。
It would be nice to have a party.	开个聚会很好。
If Tom doesn't do what he's supposed to do, please let me know.	如果汤姆没有做他应当做的事，请让我知道。
"Why are you going to Japan?" "To attend a conference in Tokyo."	“你去日本干嘛？”“去东京参加一个会议。”
Mary has a flower in her hand.	瑪麗手上有一朵花。
I didn't feel like buying a car.	我不想買車。
Tom recently found a good job.	湯姆最近找到了一份好工作。
You'd better do it soon.	你最好尽快去做。
Laughter is good for your health.	笑一笑，十年少。
What do you do for a living?	您做什麼工作為生？
Who's the girl in a yellow raincoat?	穿黃色雨衣的女孩是誰？
Mind your own business!	管好你自己的事吧。
I need to take a shower.	我需要洗个澡。
How about going to the movies?	去看電影怎樣？
He came back not because he was homesick, but because he was running short of money.	他不是因為想家，而是因為沒錢才回來的。
There's only one store on the island.	在這個島上只有一家商店。
Well, girls, it's time to go.	那么，女孩们，是时候出发了。
Let's go and swim in the river.	讓我們去河裡游泳吧。
Let's end this nonsense.	让我们结束这胡言乱语。
The television doesn't work.	电视机坏了。
It's already nine o'clock.	已经9点了。
We speak the same language, don't we?	我們說的是同樣的語言，不是嗎？
Judging from the look of the sky, it may rain this afternoon.	從天色上判斷，今天下午可能會下雨。
This is a very beautiful flower.	這是一朵非常美麗的花。
Shut the door.	不要把门开着。
He sat next to the stream.	他坐在溪流旁邊。
Other than Sundays, I work every day.	我除了星期天外每天都上班。
I'm glad you were right.	很高兴你是对的。
London, the capital of England, is on the Thames.	英国首都伦敦在泰晤士河畔。
You ought to ask for your teacher's permission.	你應該請求你的老師允許。
Did you check all the items on the shopping list?	你检查购物单上所有的项目了吗？
It's our pleasure.	这是我们的荣幸。
They were not listening to music.	他們沒在聽音樂。
Are you saying that you give up?	你是说你放弃了吗？
You should take up golf.	你应该开始从事高尔夫。
The dress suits you very well.	这条裙子很适合你。
I'll never allow you to do that.	我絶不會讓你去做。
He lived in Matsue for seven years.	他住在松江七年了。
Would you like to eat something?	你想吃點東西嗎？
I need to get some stamps.	我需要一些郵票。
Tom abstained from voting.	汤姆投票弃权。
Have you done all your homework?	你做了所有的功課嗎？
Let's clear up this problem.	让我们来澄清一下这个问题。
Why does Tom call me Mary?	为什么汤姆叫我玛丽？
This booklet is free of charge.	這本小冊子是免費的。
We know it was you that killed Tom.	我們知道昰你殺了湯姆。
We got an interesting piece of information.	我們得到了一份有趣的情報。
The old houses were torn down to make room for a supermarket.	這棟老房子被拆除了，以騰出空間給超級市場。
I don't have to clean my room.	我不用打扫房间。
You told her that you had finished the work three days before.	你告訴她你已經在三天前完成這個工作了。
They appointed him as a director.	他们任命他为经理。
Put the box down.	把箱子放下。
It could be just a coincidence.	可能只是巧合。
I remember having seen her somewhere.	我记得好像在哪里见过她。
Tom ate half the cake by himself.	湯姆獨自吃了半個蛋糕。
You and he are both very kind.	你和他都很友好 。
I cry every time I watch this movie.	我每次看这部电影都会哭。
It is less humid today than it was yesterday.	今天沒有昨天潮溼。
I'm looking forward to seeing you next Sunday.	我期待下周日能见到你。
Which book is yours?	哪本是你們的書？
I accompanied her on a walk.	我陪她散步。
You've got a great sense of humor.	你有很好的幽默感。
The doctor advised him to do more exercise.	醫生建議他多做運動。
He even called me an idiot.	他甚至叫你傻瓜。
What do you want it for?	你要它干什么？
I got on the wrong bus.	我上錯車了。
I should not have said that.	我不该说那个。
We don't live in Boston.	我们不住在波士顿。
She is more pretty than beautiful.	說她美不如說她可愛。
Tom is always watching television.	湯姆總是在看電視。
It is also a good movie.	它也是部好電影。
I don't want to get a suntan.	我不想晒黑。
Do you have change for a dollar?	你有零錢換一元美金嗎？
I only want to know the facts.	我只想知道事实。
Did you live in Sasayama last year?	你去年住在筱山嗎？
He was killed by a single bullet.	他被一顆子彈打死了。
Do you know why she's so angry?	你知道她為什麼這麼生氣嗎？
I fell asleep while reading a book.	我看书的时候睡着了。
Do you know the meaning of this word?	您知道这个词的意思吗？
See you again.	再见！
He broke in on our conversation.	他打斷了我們的談話。
I must've mistyped the number.	我一定是打錯號碼了。
You should drive at a safe speed.	你應該以安全速度駕駛。
I'm not so sure Tom is wrong.	我不太確定湯姆錯了。
He is at home.	他在家裡。
They didn't obey their parents.	他們沒有遵從他們的父母。
Balls are round.	球是圆的。
My pen isn't as good as yours.	我的钢笔不像你那支那么好。
She is looking for her car keys.	她在找她的車鑰匙。
The fish he caught yesterday is still alive.	他昨天抓住的鱼一直还活着。
My father doesn't like soccer.	我爸爸不喜欢足球。
Can I see the menu, please?	麻煩給我菜單。
In the case of fire, dial 119.	遇到火警時，撥打119。
A lot of soldiers were killed here.	許多士兵在這裡陣亡。
Germany adopted a social security system in the 1880's.	德国在1880年代采取了一种社会保障制度。
All Americans have to pay their taxes.	所有美国人都需要缴税。
Don't let the dog come in.	别让狗进来。
You can't keep a secret.	你不能有秘密。
Could you bring me some water?	能给我带一点水来吗？
He fought against racial discrimination.	他反對種族歧視。
I don't want to hear your theories.	我不想听你的理论。
Mom, I'm hungry.	妈妈，我肚子饿了。
He's a tall boy.	他是一个高大的男孩。
He often eats fish for dinner.	他晚飯經常吃魚。
I want to watch this film.	我想看这部电影。
I heard someone call my name.	我聽見有人叫我的名字。
That wasn't funny.	那不好笑。
We don't care what he does.	我們不在乎他做什麼。
This one's yours.	這個是你的。
Yesterday's weather wasn't very good.	昨天天氣不是很好。
Lake Towada is famous for its beauty.	十和田湖以它的美麗聞名。
Who do you think we are?	你认为我们是谁？
Is the customer always right?	顾客永远是正确的吗？
Since he didn't know what to say, he remained silent.	自从他不知道该说什么的时候，便一直沉默着。
How do you spell your name?	你怎麼拼你的名字的？
I need evidence.	我需要證據。
Do you have a car?	您有车吗？
She made fun of her husband.	她取笑了她的丈夫。
Come on, hurry up.	来吧，快一点。
This meal is adequate for three.	这饭足够三个人吃。
We have breakfast in the kitchen.	我們在廚房裡吃早餐。
My father gave me a game.	我爸爸给我了游戏。
We play football every Saturday.	我們每個星期六踢足球。
She forgot to mail the letter.	她忘了寄信。
She's eating an apple.	她正吃著一個蘋果。
The sky was filled with airplanes.	天上滿是飛機。
He said that you had better go.	他說你最好去。
An army marches on its stomach.	胃里如同千军万马开过。
I looked over my shoulder.	我回過頭去。
We can begin.	我們能開始。
What a good idea!	多好的主意啊！
Can you tell wheat from barley?	你能辨别小麦和大麦吗？
Tom didn't know how to translate the word "computer" because the people he was talking to had never seen one.	汤姆不知如何翻译“计算机”一词，因为同他谈话的人从未见过一台。
This dictionary is mine.	这本字典是我的。
She took a bite of the apple.	她咬了一口蘋果。
I like to run.	我喜欢跑步。
What number bus do I take to get to Waikiki?	我乘几路车去怀基基？
What did you do with that camera?	你用那台相機做了什麼？
I didn't want to surprise you.	我没想吓唬你。
You are working too hard. Take it easy for a while.	你工作得太辛苦了。放輕鬆一下。
I know that Tom is hungry.	我知道湯姆餓了。
My friends don't play tennis.	我的朋友不打網球。
I remember this map.	我記得這張地圖。
My father goes to church on Sunday.	我爸爸週日上教堂。
He returned very late at night.	他晚上回來得很晚。
I will do anything for you.	我會為你做任何事。
Can you tell me where the nearest antique shop is?	你能告诉我最近的古玩店在哪里吗？
If it had not been for your help, I couldn't have completed the work.	如果不是因为有你的帮助，我不可能完成了这个工作。
No problem!	没问题！
You live and learn.	你一面生活一面學習。
It's too dark to play tennis now.	現在太暗了不能打網球。
My business has at last gotten on the right track.	我的生意终于走上了正轨。
I hate terrorist organizations.	我痛恨恐怖主义组织。
People of all ages like this song.	这首歌老少皆宜。
The doctor told her that she should take a rest.	医生告诉她要静养。
Maybe you could draw me a picture.	你可以给我画张画。
She employed a private detective to keep a watch on her husband.	她僱了一個私人偵探看守她的丈夫。
My roommate is learning Chinese.	我的室友在學中文。
He bent over backward to please his wife.	他竭尽全力地讨好他老婆。
I've lost one of my folders.	我丢了我的一个文件夹。
We have your size, but not in that color.	我们有你的尺寸，但是没有那个颜色。
Tom is no longer a member of this club.	汤姆不再是俱乐部的成员了。
Tom didn't tell me his secret.	湯姆沒有告訴我他的祕密。
She assigned the work to him.	她把這個工作派給他做。
He is not as smart as his older brother.	他不像他的兄长那样聪明。
I don't lie.	我不說謊。
We had a slight difference of opinion.	我們的看法有一點不同。
I can't stand that noise.	我不能忍受那個噪音。
I can't find my pen.	我找不到我的筆。
It wasn't clear what she meant.	不清楚她是什麼意思。
Everyone who knew him admired him.	每一個認識他的人都愛慕他。
This sentence is ambiguous.	此句有歧義
Tom didn't let his children go to Mary's party.	湯姆沒有讓他的孩子們去瑪莉的派對。
I got up early as usual.	我和往常一样起得很早。
You should tell him the truth.	您该告诉他真相。
Do you need help?	你需要幫助嗎？
Fasten your seat belts.	系上你們的安全带。
Tom is afraid to go out alone at night.	汤姆害怕晚上一个人出门儿。
Tom wondered where Mary had learned French.	汤姆想知道玛丽在哪里学会了法语。
This is the dictionary I use every day.	这是我每天都用的字典。
Do you think it's a sign?	你认为这是个预兆吗？
Are you listening to English?	你在聽英語嗎？
Smoking is prohibited on the train.	在火車上禁止吸煙。
It's taking a little longer than I expected.	我花了比預期更多的時間。
Admission is $3.00 at the door.	入场费是3美元。
I worked three years as Tom's assistant.	我给汤姆当了三年助手。
Tom has been on the wanted list for three years.	汤姆已经上通缉令三年了。
I got along with everybody.	我和大家相處。
I was surprised at his strong resemblance to his father.	他像极了他父亲，这让我震惊。
She cursed loudly.	她大声诅咒。
He applied himself to the study of music.	他潛心研究音樂。
Let's meet in front of the theater.	讓我們在戲院前面碰面。
He has been sick for a week.	他病了一星期。
There is no admission fee for children under five.	五岁以下的小孩票价全面。
Where is the United Airlines check-in counter?	聯合航空公司辦理登機手續的櫃檯在哪裡？
Tom looked at his reflection in the mirror.	汤姆看他在镜中的映像。
The river that flows through London is the Thames.	流经伦敦的河是泰晤士河。
I'm going to be a millionaire.	我就要成为百万富翁了。
Where's the nearest shopping mall?	最近的大卖场在哪里？
He sat on the bench.	他坐在長凳上。
Tom helped Mary move the furniture.	汤姆帮玛丽移动家具。
There are many hotels downtown.	市中心有很多旅馆。
Do you think Tom will show up?	你認為湯姆會出現嗎？
How much did the glasses cost?	這副眼鏡多少錢？
It's up to you to decide.	由你來決定。
That's what I have to do.	那是我必須做的。
How do you account for that?	你怎样作出的解释？
Her feelings are easily hurt.	她很容易受到感情上的伤害。
Did you buy juice?	你有買果汁嗎？
I don't expect anything from you.	我不指望从你身上得到什么。
I love watching soccer games.	我爱看足球。
He must have taken the wrong train.	他一定是搭錯火車了。
I don't know what to say.	我不知道说什么。
He likes sleeping.	他喜欢睡觉。
Her idea is better than yours.	她的想法比你的好。
I listen to the radio after dinner.	晚饭后我听收音机。
Speak softly.	你说话小点声。
He should have done it that way.	他该那样做完了。
You should have shown him the device.	你应该给他看看这装置。
What I'm about to say is strictly between you and me.	我要告訴你的只能你我知道。
Compare your translation with his.	比較你和他的翻譯。
Today our artificial satellites are revolving around the earth.	今天我们的人造卫星正在环绕地球运转。
My attitude towards him changed.	我对他的态度变了。
Yesterday, the weather was very nice.	昨天天气非常好。
I didn't like beer at that time.	那时候我不喜欢啤酒。
This clock is mine.	這個錶是我的。
They didn't pay me.	他们没付我钱。
He likes mathematics, but I don't.	他喜欢数学，但我不喜欢。
That thought crossed my mind.	这应证了我的想法。
Please put those chairs away.	請把那些椅子放好。
Something must be done!	必須採取一些行動了！
Lunch is on.	午餐送到了。
I wish you'd go.	我希望你去。
It is difficult for me to answer the question.	这个问题对我来讲很难回答。
Clean your room.	打扫一下你的房间。
Anniversaries are important.	週年紀念很重要。
We'll come back tomorrow.	我们明天回来。
Everyone knows the law.	大家都知道這個法律。
I can't play tennis very well.	我網球打的不是很好。
Iron the inside of collars first, and then the outside.	先熨烫领子的里面，然后是外面。
Why did you come here so early?	你為什麼這麼早來這裡？
I felt like crying.	我想哭。
I'll still have a scar from that accident.	我还留着那起事故的伤疤。
He is on the radio.	他上电台了。
Have you ever been robbed?	你被抢劫过吗？
I will finish my homework by nine.	我會在九點前完成我的作業。
It belongs to me now.	它现在归我了。
Take the pan off the fire.	把平底鍋離火。
It'll definitely rain.	绝对将要下雨。
You're a person.	你是人。
No matter what happens, I'm not changing my mind.	無論如何，我不會改變我的想法。
It's exactly what I wanted.	我想要的就是这个。
Please have someone else do it.	請讓別人去做。
I didn't know you were going to be here.	我不知道你要來這裡。
Tom needs to be very careful.	湯姆需要很小心。
Can his story be true?	他的故事可能是真的吗?
We made an appeal for support.	我們提出了請求支持的呼籲。
It's fun to ride a motorcycle.	騎摩托車很有趣。
Wealth does not always bring us happiness.	財富並不總是為我們帶來快樂。
Children should keep away from the river. It's dangerous.	儿童应该远离河流。有危险。
I'm sorry I didn't make myself clear.	對不起，我沒講清楚。
We haven't finished eating the watermelon yet.	我們還沒吃完這個西瓜。
My sister has a nice piano.	我妹妹有架漂亮的钢琴。
Choose the color you like the best.	選你最喜歡的顏色。
You must do it.	你必須去做。
She was out of Japan last year.	去年她离开了日本。
Ask your dad to help you.	請你父親幫你。
He gave in.	他让步了.
She tore the letter into pieces.	她把信成碎片。
She stayed there for a moment.	她在那裡留了一會。
I heard the children's happy voices.	我聽到孩子們開心的聲音。
I can recommend this book to you.	我可以向你推薦這本書。
Everyone loves that place.	每一個人都喜歡那個地方。
I used to eat pizza, but now I don't.	我以前吃披萨，但现在不了。
This is the last time I'll ask you to do anything for me.	这是我最后一次让你为我做点事了。
He doesn't know any of us.	他不认识我们中的任何一个。
He found the box under the table.	他在桌子底下發現了這個盒子。
I'd like to ask you a few more questions.	我想問再你幾個問題。
I'm going to study harder.	我決定更努力讀書。
I'm not always at home on Sundays.	我星期天並不總是在家。
Why do you want to kill me?	你為什麼想殺我？
She writes beautifully.	她的筆跡很美。
The children washed their feet.	孩子们洗了他们的脚。
It's a matter of life and death.	这是一个生和死的问题。
I wish I were a little taller.	但願我長高一點。
I baked some apple pies.	我烤了蘋果派。
Hang on till I get to you.	坚持下去直到我找到你。
Smoking is strictly prohibited.	严禁吸烟。
She went to the museum by cab.	她搭計程車到博物館。
How do you go to school?	你是怎麼去上學的？
My father sometimes goes abroad.	我父親偶爾出國。
I have no idea of what to do.	我不知道该怎么办。
Do you know why it's happening?	你知道为什么它正在发生吗？
He was waiting for a long time.	他等了很長的時間。
Did you go to school?	你去學校了嗎？
I changed trains at Tokyo Station.	我在東京站換火車。
These glasses are cool.	這些眼鏡真酷。
I have nothing to do with this matter.	我跟這件事無關。
Strike while the iron is hot.	打鐵趁熱。
This doghouse was built by Tom.	这狗屋是汤姆建的。
Nothing is missing.	什么也没少。
You're so right.	你真是太對了。
We were talking about something at that time, but I don't remember what.	我们那时在谈论事情，但我不记得是什么了。
Have you ever written a blog?	你写过博客吗？
Our school's principal is very old.	我校校长很老了。
She named all the flowers in the garden.	她给花园里的花都起了名字。
I'm very happy.	我很幸福。
I bet five pounds on the horse.	我在這匹馬上押五英鎊的賭注。
Wear whatever you want to wear.	穿你想穿的。
My parents objected to my studying abroad.	我父母反對我出國留學。
You'd better not speak.	你最好不要說。
What do you suppose this could be?	你认为这是什么？
Tom told Mary his age.	湯姆告訴瑪麗他的年齡。
Tom lives three miles east of here.	湯姆在這以東三哩的地方住。
Tom drinks juice.	Tom喝果汁。
It's a nice day, isn't it?	美丽的一天，不是吗？
We're having an office party tomorrow.	我們明天有個辦公室派對。
I decided not to go to Europe.	我决定不去欧洲了。
Can you give me a discount?	能给我打个折么？
He promised me he would be here at six.	他答應我六點鐘的時候他會在這裡。
I have to paint it.	我必須把它漆上油漆。
The poor young man finally became a great artist.	这个可怜的年轻人最后成为了一个了不起的艺术家。
This is a good book, but that one is better.	這是本好書，但那本更好。
When does the movie start?	電影什麼時候開始？
Have you ever had any serious illness?	你曾经得过重病吗？
I have too many things on my mind these days.	这几天我脑袋里的事情太多了。
He works every day except Sunday.	除了星期天他每天工作。
It's very easy to miss this kind of mistake.	这种错误很容易被人忽视。
He explained the literal meaning of the sentence.	他解释了句子的字面意思。
I got it for next to nothing.	我簡直不用花錢就買到了。
I didn't participate in the conversation.	我沒有參與這個談話。
This road connects Tokyo with Osaka.	这条路连接东京和大阪。
Tom doesn't have time.	汤姆没有时间。
Something must be wrong with the machinery.	這個機器一定有什麼地方不對勁。
The children are afraid of Tom.	孩子們怕湯姆。
Write on every other line.	每隔一行寫。
You shouldn't have done it.	你不應該做的。
I wish I could buy a motorcycle.	但願我能買一輛摩托車。
I'd better get back home.	我回家比较好。
She has no enemies.	她没有敌人。
I wish I could stop thinking about Tom.	希望我可以不再想Tom。
You're so bad.	你真壞。
Which of the composers do you like best?	你最喜欢哪位作曲家？
Let's go and see as many things as we can.	我们走，尽可能多看点东西。
I'm still angry.	我还饿着呢。
I think I've found something of yours.	我認為我找到一些你的東西了。
I don't understand German at all.	我一點也不懂德語。
Salt helps to preserve food from decay.	鹽可以幫助保存食物避免腐爛。
I go to the country every summer.	我每年夏天都去鄉下。
This is the best restaurant I know of.	这是我知道的最好的餐馆。
Is there an app for that?	有它的应用吗？
I couldn't agree with his opinion.	我不同意他的看法。
You're a month behind in your rent.	你的租金遲交了一個月。
I had lost my pen.	我弄丟了我的筆。
I've got to shave before leaving.	離開前我必須刮鬍子。
We used to go skating every weekend.	过去我们每个周末都去溜冰。
Where is the bus stop for downtown?	到市區的公車站牌在哪裡？
Doing the laundry is my job.	洗衣服是我的工作。
I can't understand this at all.	我一點也不懂這個。
I've already been working here for several hours.	我已经在这里工作几个小时了。
Many friends saw him off.	許多朋友為他送行。
Tom isn't very good at speaking French.	湯姆說法語不太好。
I've always wondered what it'd be like to have siblings.	我总是想有兄弟姐妹会怎么样。
I feel weak.	我感到虚弱。
I'm looking forward to seeing you again.	我期待再見到你。
Mt. Fuji can be seen from here.	從這裡可以看到富士山。
They will get married next month.	他們將在下個月結婚。
Do you know anything about Tom's parents?	你知道任何关于汤姆父母的事吗？
They helped each other with homework.	他們互相幫忙做功課。
What do you want to tell me?	你想跟我说什么？
Go upstairs and bring down my trunk.	上樓把我的旅行箱拿下來。
You need to put more water in the vase.	你需要往花瓶里加更多的水。
He bought me a new dictionary.	他買給我一本新字典。
I don't know why he's so mad.	我不知道她為什麼如此生氣。
I look forward to your next visit.	我期待著您的再次光臨。
He must be the principal.	他一定是校長。
The girl is small for her age.	就她的年齡來說，這個女孩算是矮小的。
Were you guys serious?	你们是认真的吗？
He was listening to music.	他正在聽音樂。
Please answer this question for me.	請回答我這個問題。
