environment_name,environment_description,environment_belong_city
瓦洛兰大事件,贸易是皮尔特沃夫的命脉，这座执掌着东西海路航道的城市凭借地理优势赚得盆满钵满。这也促成了诺克萨斯帝国的快速扩张，因为他们的军队和军需物资可以相对容易地前往符文之地的四面八方。皮城的贸易也让比尔吉沃特繁荣起来，这座避风港滋生的私掠船专挑往来于皮城的船只下手。,皮尔特沃夫
蓝熏庄园,,皮尔特沃夫
壮观的建筑结构,皮尔特沃夫的新建筑端庄优雅地融合了光滑的大理石、青铜栅格和亮闪闪的玻璃，而错落比邻的旧建筑则是粗糙石块和老旧木材的结构。一座座镶着金银纹理的塔楼伸向天空，一座座拱形桥梁横跨于裂谷两侧悬崖的顶端。,皮尔特沃夫
财富与地位,商业建筑的入口通常都精雕细琢。即使那些建于海克斯科技时代之前的建筑，如今也被装饰得精致华丽，从而给人加深一个印象：皮城是个富得流金的城市。,皮尔特沃夫
校准之辉开启了通向启迪的旅程,,暗影岛
光明神殿,它的墙壁和地板上刻着哨卫们的祷文,暗影岛
天界穹窿,由月回归线半圆体的启示录所解锁,暗影岛
四分五裂的奥秘地库,黑魔法的交汇点,暗影岛
连结之厅,每个求知者都必须通过这里,暗影岛
巨坑,曾是暗影岛腹地用于展示古代宝物的宏伟陈列室,暗影岛
书库,,暗影岛
书库要塞,,暗影岛
漫水的城市,海力亚，福光岛的都城，坐落于海岸线上。因此城市的很大一部分都在破败之咒过后被海水淹没了。,暗影岛
重建后的太阳圆盘悬在纳施拉美的街道之上,,恕瑞玛
沙粒退去,而恕瑞玛重生了。,恕瑞玛
恕瑞玛从沙砾中升起,又一次沐浴在太阳的光辉下,恕瑞玛
恕瑞玛的人民回到了他们先祖的家园。,,恕瑞玛
恕瑞玛的废墟,它曾经宏伟的宫殿和城堡都化为废墟,恕瑞玛
瑟塔卡之女,祖瑞塔的飞升圣职者,恕瑞玛
髓印集市,,恕瑞玛
索昂萨沙瀑 ,黄沙的潮涌在岩石间凿出通路，在悬崖边形成壮阔的沙瀑。根据传统，恕瑞玛人会将心爱之物扔进沙流，当作是献给飞升者的礼物。于是，沙瀑也就成了寻宝者们最爱的乐园。,恕瑞玛
吟歌谷,这条偏远的道路上有不少空洞的山岩，劲风吹过时会发出幽咽的哨音，因此而得名。粗心的旅人们会落入在夜间游荡的失聪的劫掠者之手。,恕瑞玛
霜卫要塞,,弗雷尔卓德
废弃的寒冰血脉要塞,,弗雷尔卓德
拉克斯塔克的朝圣场所,,弗雷尔卓德
冰封的格拉泽港口,以及锁扣在一起的狼船,弗雷尔卓德
嚎哭深渊的冰冷洞穴,,弗雷尔卓德
通向嚎哭深渊的戒备森严的传送门,,弗雷尔卓德
冰霜号角峰上的寒冰血脉地库,,弗雷尔卓德
